Time [s],Time Delta [ms],File Source,MOSI,MISO,Command Name,PE,Input Data Details,General Status,Sensor Data Flag,SID / add. Status,Output Data Details,Global Status Flag
0.02126345,0,SMA760,0xFF00FF00,0xFFFFFFFF,Unknown,,{},{},{},{},{},{}
0.02127,0.0065500000000009995,SMA760,0x20800100,0xFFFFFFFF,WR_MODE,,"{""SEN"": 0, ""1"": 1, ""0"": 0, ""Voltage Mode"": 8, ""CRC"": 0, ""D"": 8}",{},{},{},"{""n/a"": 1}",{}
0.0212765,0.006499999999999562,SMA760,0x20000010,0x2802E089,WR_MODE,,"{""SEN"": 0, ""1"": 0, ""0"": 0, ""Voltage Mode"": 0, ""CRC"": 4, ""D"": 0}",{},{},{},"{""n/a"": 1}",{}
0.02128305,0.0065500000000009995,SMA760,0x20000010,0x2802E089,WR_MODE,,"{""SEN"": 0, ""1"": 0, ""0"": 0, ""Voltage Mode"": 0, ""CRC"": 4, ""D"": 0}",{},{},{},"{""n/a"": 1}",{}
0.02176315,0.4800999999999972,SMA760,0xFF00FF00,0x2800000C,Unknown,,{},{},{},{},{},{}
0.0217697,0.0065500000000009995,SMA760,0x20800100,0xA800000C,WR_MODE,,"{""SEN"": 0, ""1"": 1, ""0"": 0, ""Voltage Mode"": 8, ""CRC"": 0, ""D"": 8}",{},{},{},"{""n/a"": 0}",{}
0.0217762,0.006499999999999562,SMA760,0x20000010,0xA802E089,WR_MODE,,"{""SEN"": 0, ""1"": 0, ""0"": 0, ""Voltage Mode"": 0, ""CRC"": 4, ""D"": 0}",{},{},{},"{""n/a"": 1}",{}
0.02178275,0.0065500000000009995,SMA760,0x20000010,0x2802E089,WR_MODE,,"{""SEN"": 0, ""1"": 0, ""0"": 0, ""Voltage Mode"": 0, ""CRC"": 4, ""D"": 0}",{},{},{},"{""n/a"": 1}",{}
0.0222637,0.4809500000000008,SMA760,0xFF00FF00,0x2800000C,Unknown,,{},{},{},{},{},{}
0.0222702,0.006499999999999562,SMA760,0x20800100,0xA800000C,WR_MODE,,"{""SEN"": 0, ""1"": 1, ""0"": 0, ""Voltage Mode"": 8, ""CRC"": 0, ""D"": 8}",{},{},{},"{""n/a"": 0}",{}
0.02227675,0.0065500000000009995,SMA760,0x20000010,0xA802E089,WR_MODE,,"{""SEN"": 0, ""1"": 0, ""0"": 0, ""Voltage Mode"": 0, ""CRC"": 4, ""D"": 0}",{},{},{},"{""n/a"": 1}",{}
0.0222833,0.00654999999999753,SMA760,0x20000010,0x2802E089,WR_MODE,,"{""SEN"": 0, ""1"": 0, ""0"": 0, ""Voltage Mode"": 0, ""CRC"": 4, ""D"": 0}",{},{},{},"{""n/a"": 1}",{}
0.02276315,0.47985000000000044,SMA760,0xFF00FF00,0x2800000C,Unknown,,{},{},{},{},{},{}
0.0227697,0.0065500000000009995,SMA760,0x20800100,0xA800000C,WR_MODE,,"{""SEN"": 0, ""1"": 1, ""0"": 0, ""Voltage Mode"": 8, ""CRC"": 0, ""D"": 8}",{},{},{},"{""n/a"": 0}",{}
0.0227762,0.006499999999999562,SMA760,0x20000010,0xA802E089,WR_MODE,,"{""SEN"": 0, ""1"": 0, ""0"": 0, ""Voltage Mode"": 0, ""CRC"": 4, ""D"": 0}",{},{},{},"{""n/a"": 1}",{}
0.02278275,0.0065500000000009995,SMA760,0x20000010,0x2802E089,WR_MODE,,"{""SEN"": 0, ""1"": 0, ""0"": 0, ""Voltage Mode"": 0, ""CRC"": 4, ""D"": 0}",{},{},{},"{""n/a"": 1}",{}
0.02326315,0.4803999999999989,SMA760,0xFF00FF00,0x2800000C,Unknown,,{},{},{},{},{},{}
0.02326965,0.006499999999999562,SMA760,0x20800100,0xA800000C,WR_MODE,,"{""SEN"": 0, ""1"": 1, ""0"": 0, ""Voltage Mode"": 8, ""CRC"": 0, ""D"": 8}",{},{},{},"{""n/a"": 0}",{}
0.0232762,0.0065500000000009995,SMA760,0x20000010,0xA802E089,WR_MODE,,"{""SEN"": 0, ""1"": 0, ""0"": 0, ""Voltage Mode"": 0, ""CRC"": 4, ""D"": 0}",{},{},{},"{""n/a"": 1}",{}
0.02328275,0.0065500000000009995,SMA760,0x20000010,0x2802E089,WR_MODE,,"{""SEN"": 0, ""1"": 0, ""0"": 0, ""Voltage Mode"": 0, ""CRC"": 4, ""D"": 0}",{},{},{},"{""n/a"": 1}",{}
0.02376315,0.4803999999999989,SMA760,0xFF00FF00,0x2800000C,Unknown,,{},{},{},{},{},{}
0.0237697,0.0065500000000009995,SMA760,0x20800100,0xA800000C,WR_MODE,,"{""SEN"": 0, ""1"": 1, ""0"": 0, ""Voltage Mode"": 8, ""CRC"": 0, ""D"": 8}",{},{},{},"{""n/a"": 0}",{}
0.0237762,0.006499999999999562,SMA760,0x20000010,0xA802E089,WR_MODE,,"{""SEN"": 0, ""1"": 0, ""0"": 0, ""Voltage Mode"": 0, ""CRC"": 4, ""D"": 0}",{},{},{},"{""n/a"": 1}",{}
