MOSI,MISO,Command Name
0xFF00FF00,0x00000000,Unknown
0x20800100,0x00000000,WR_MODE
0x20000010,0x2802E089,WR_MODE
0x20000010,0x2802E089,WR_MODE
0xFF00FF00,0x2800000C,Unknown
0x20800100,0xA800000C,WR_MODE
0x20000010,0xA802E089,WR_MODE
0x20000010,0x2802E089,WR_MODE
0xFF00FF00,0x2800000C,Unknown
0x20800100,0xA800000C,WR_MODE
0x20000010,0xA802E089,WR_MODE
0x20000010,0x2802E089,WR_MODE
0xFF00FF00,0x2800000C,Unknown
0x20800100,0xA800000C,WR_MODE
0x20000010,0xA802E089,WR_MODE
0x20000010,0x2802E089,WR_MODE
0xFF00FF00,0x2800000C,Unknown
0x20800100,0xA800000C,WR_MODE
0x20000010,0xA802E089,WR_MODE
0x20000010,0x2802E089,WR_MODE
0xFF00FF00,0x2800000C,Unknown
0x20800100,0xA800000C,WR_MODE
0x20000010,0xA802E089,WR_MODE
0x20000010,0x2802E089,WR_MODE
0xFF00FF00,0x2800000C,Unknown
0x20800100,0xA800000C,WR_MODE
0x20000010,0xA802E089,WR_MODE
0x20000010,0x2802E089,WR_MODE
0xFF00FF00,0x2800000C,Unknown
0x20800100,0xA800000C,WR_MODE
0x20000010,0xA802E089,WR_MODE
0x20000010,0x2802E089,WR_MODE
0xFF00FF00,0x2800000C,Unknown
0x20800100,0xA800000C,WR_MODE
0x20000010,0xA802E089,WR_MODE
0x20000010,0x2802E089,WR_MODE
0xFF00FF00,0x2800000C,Unknown
0x20800100,0xA800000C,WR_MODE
0x20000010,0xA802E089,WR_MODE
0x20000010,0x2802E089,WR_MODE
0xFF00FF00,0x2800000C,Unknown
0x20800100,0xA800000C,WR_MODE
0x20000010,0xA802E089,WR_MODE
0x20000010,0x2802E089,WR_MODE
0xFF00FF00,0x2800000C,Unknown
0x20800100,0xA800000C,WR_MODE
0x20000010,0xA802E089,WR_MODE
0x20000010,0x2802E089,WR_MODE
0xFF00FF00,0x2800000C,Unknown
0x20800100,0xA800000C,WR_MODE
0x20000010,0xA802E089,WR_MODE
0x20000010,0x2802E089,WR_MODE
0xFF00FF00,0x2800000C,Unknown
0x20800100,0xA800000C,WR_MODE
0x20000010,0xA802E089,WR_MODE
0x20000010,0x2802E089,WR_MODE
0xFF00FF00,0x2800000C,Unknown
0x20800100,0xA800000C,WR_MODE
0x20000010,0xA802E089,WR_MODE
0x20000010,0x2802E089,WR_MODE
0xFF00FF00,0x2800000C,Unknown
0x20800100,0xA800000C,WR_MODE
0x20000010,0xA802E089,WR_MODE
0x20000010,0x2802E089,WR_MODE
0xFF00FF00,0x2800000C,Unknown
0x20800100,0xA800000C,WR_MODE
0x20000010,0xA802E089,WR_MODE
0x20000010,0x2802E089,WR_MODE
0xFF00FF00,0x2800000C,Unknown
0x20800100,0xA800000C,WR_MODE
0x20000010,0xA802E089,WR_MODE
0x20000010,0x2802E089,WR_MODE
0xFF00FF00,0x2800000C,Unknown
0x20800100,0xA800000C,WR_MODE
0x20000010,0xA802E089,WR_MODE
0x20000010,0x2802E089,WR_MODE
0xFF00FF00,0x2800000C,Unknown
0x20800100,0xA800000C,WR_MODE
0x20000010,0xA802E089,WR_MODE
0x20000010,0x2802E089,WR_MODE
0xFF00FF00,0x2800000C,Unknown
0x20800100,0xA800000C,WR_MODE
0x20000010,0xA802E089,WR_MODE
0x20000010,0x2802E089,WR_MODE
0xFF00FF00,0x2800000C,Unknown
0x20800100,0xA800000C,WR_MODE
0x20000010,0xA802E089,WR_MODE
0x20000010,0x2802E089,WR_MODE
0xFF00FF00,0x2800000C,Unknown
0x20800100,0xA800000C,WR_MODE
0x20000010,0xA802E089,WR_MODE
0x20000010,0x2802E089,WR_MODE
0xFF00FF00,0x2800000C,Unknown
0x20800100,0xA800000C,WR_MODE
0x20000010,0xA802E089,WR_MODE
0x20000010,0x2802E089,WR_MODE
0xFF00FF00,0x2800000C,Unknown
0x20800100,0xA800000C,WR_MODE
0x20000010,0xA802E089,WR_MODE
0x20000010,0x2802E089,WR_MODE
0xFF00FF00,0x2800000C,Unknown
0x20800100,0xA800000C,WR_MODE
0x20000010,0xA802E089,WR_MODE
0x20000010,0x2802E089,WR_MODE
0xFF00FF00,0x2800000C,Unknown
0x20800100,0xA800000C,WR_MODE
0x20000010,0xA802E089,WR_MODE
0x20000010,0x2802E089,WR_MODE
0xFF00FF00,0x2800000C,Unknown
0x20800100,0xA800000C,WR_MODE
0x20000010,0xA802E089,WR_MODE
0x20000010,0x2802E089,WR_MODE
0xFF00FF00,0x2800000C,Unknown
0x20800100,0xA800000C,WR_MODE
0x20000010,0xA802E089,WR_MODE
0x20000010,0x2802E089,WR_MODE
0xFF00FF00,0x2800000C,Unknown
0x20800100,0xA800000C,WR_MODE
0x20000010,0xA802E089,WR_MODE
0x20000010,0x2802E089,WR_MODE
0xFF00FF00,0x2800000C,Unknown
0x20800100,0xA800000C,WR_MODE
0x20000010,0xA802E089,WR_MODE
0x20000010,0x2802E089,WR_MODE
0xFF00FF00,0x2800000C,Unknown
0x20800100,0xA800000C,WR_MODE
0x20000010,0xA802E089,WR_MODE
0x20000010,0x2802E089,WR_MODE
0xFF00FF00,0x2800000C,Unknown
0x20800100,0xA800000C,WR_MODE
0x20000010,0xA802E089,WR_MODE
0x20000010,0x2802E089,WR_MODE
0xFF00FF00,0x2800000C,Unknown
0x20800100,0xA800000C,WR_MODE
0x20000010,0xA802E089,WR_MODE
0x20000010,0x2802E089,WR_MODE
0xFF00FF00,0x2800000C,Unknown
0x20800100,0xA800000C,WR_MODE
0x20000010,0xA802E089,WR_MODE
0x20000010,0x2802E089,WR_MODE
0xFF00FF00,0x2800000C,Unknown
0x20800100,0xA800000C,WR_MODE
0x20000010,0xA802E089,WR_MODE
0x20000010,0x2802E089,WR_MODE
0xFF00FF00,0x2800000C,Unknown
0x20800100,0xA800000C,WR_MODE
0x20000010,0xA802E089,WR_MODE
0x20000010,0x2802E089,WR_MODE
0xFF00FF00,0x2800000C,Unknown
0x20800100,0xA800000C,WR_MODE
0x20000010,0xA802E089,WR_MODE
0x20000010,0x2802E089,WR_MODE
0xFF00FF00,0x2800000C,Unknown
0x20800100,0xA800000C,WR_MODE
0x20000010,0xA802E089,WR_MODE
0x20000010,0x2802E089,WR_MODE
0xFF00FF00,0x2800000C,Unknown
0x20800100,0xA800000C,WR_MODE
0x20000010,0xA802E089,WR_MODE
0x20000010,0x2802E089,WR_MODE
0xFF00FF00,0x2800000C,Unknown
0x20800100,0xA800000C,WR_MODE
0x20000010,0xA802E089,WR_MODE
0x20000010,0x2802E089,WR_MODE
0xFF00FF00,0x2800000C,Unknown
0x20800100,0xA800000C,WR_MODE
0x20000010,0xA802E089,WR_MODE
0x20000010,0x2802E089,WR_MODE
0xFF00FF00,0x2800000C,Unknown
0x20800100,0xA800000C,WR_MODE
0x20000010,0xA802E089,WR_MODE
0x20000010,0x2802E089,WR_MODE
0xFF00FF00,0x2800000C,Unknown
0x20800100,0xA800000C,WR_MODE
0x20000010,0xA802E089,WR_MODE
0x20000010,0x2802E089,WR_MODE
0xFF00FF00,0x2800000C,Unknown
0x20800100,0xA800000C,WR_MODE
0x20000010,0xA802E089,WR_MODE
0x20000010,0x2802E089,WR_MODE
0xFF00FF00,0x2800000C,Unknown
0x20800100,0xA800000C,WR_MODE
0x20000010,0xA802E089,WR_MODE
0x20000010,0x2802E089,WR_MODE
0xFF00FF00,0x2800000C,Unknown
0x20800100,0xA800000C,WR_MODE
0x20000010,0xA802E089,WR_MODE
0x20000010,0x2802E089,WR_MODE
0xFF00FF00,0x2800000C,Unknown
0x20800100,0xA800000C,WR_MODE
0x20000010,0xA802E089,WR_MODE
0x20000010,0x2802E089,WR_MODE
0xFF00FF00,0x2800000C,Unknown
0x20800100,0xA800000C,WR_MODE
0x20000010,0xA802E089,WR_MODE
0x20000010,0x2802E089,WR_MODE
0xFF00FF00,0x2800000C,Unknown
0x20800100,0xA800000C,WR_MODE
0x20000010,0xA802E089,WR_MODE
0x20000010,0x2802E089,WR_MODE
0xFF00FF00,0x2800000C,Unknown
0x20800100,0xA800000C,WR_MODE
0x20000010,0xA802E089,WR_MODE
0x20000010,0x2802E089,WR_MODE
0xFF00FF00,0x2800000C,Unknown
0x20800100,0xA800000C,WR_MODE
0x20000010,0xA802E089,WR_MODE
0x20000010,0x2802E089,WR_MODE
0xFF00FF00,0x2800000C,Unknown
0x20800100,0xA800000C,WR_MODE
0x20000010,0xA802E089,WR_MODE
0x20000010,0x2802E089,WR_MODE
0xFF00FF00,0x2800000C,Unknown
0x20800100,0xA800000C,WR_MODE
0x20000010,0xA802E089,WR_MODE
0x20000010,0x2802E089,WR_MODE
0xFF00FF00,0x2800000C,Unknown
0x20800100,0xA800000C,WR_MODE
0x20000010,0xA802E089,WR_MODE
0x20000010,0x2802E089,WR_MODE
0xFF00FF00,0x2800000C,Unknown
0x20800100,0xA800000C,WR_MODE
0x20000010,0xA802E089,WR_MODE
0x20000010,0x2802E089,WR_MODE
0xFF00FF00,0x2800000C,Unknown
0x20800100,0xA800000C,WR_MODE
0x20000010,0xA802E089,WR_MODE
0x20000010,0x2802E089,WR_MODE
0xFF00FF00,0x2800000C,Unknown
0x20800100,0xA800000C,WR_MODE
0x20000010,0xA802E089,WR_MODE
0x20000010,0x2802E089,WR_MODE
0xFF00FF00,0x2800000C,Unknown
0x20800100,0xA800000C,WR_MODE
0x20000010,0xA802E089,WR_MODE
0x20000010,0x2802E089,WR_MODE
0xFF00FF00,0x2800000C,Unknown
0x20800100,0xA800000C,WR_MODE
0x20000010,0xA802E089,WR_MODE
0x20000010,0x2802E089,WR_MODE
0xFF00FF00,0x2800000C,Unknown
0x20800100,0xA800000C,WR_MODE
0x20000010,0xA802E089,WR_MODE
0x20000010,0x2802E089,WR_MODE
0xFF00FF00,0x2800000C,Unknown
0x20800100,0xA800000C,WR_MODE
0x20000010,0xA802E089,WR_MODE
0x20000010,0x2802E089,WR_MODE
0xFF00FF00,0x2800000C,Unknown
0x20800100,0xA800000C,WR_MODE
0x20000010,0xA802E089,WR_MODE
0x20000010,0x2802E089,WR_MODE
0xFF00FF00,0x2800000C,Unknown
0x20800100,0xA800000C,WR_MODE
0x20000010,0xA802E089,WR_MODE
0x20000010,0x2802E089,WR_MODE
0xFF00FF00,0x2800000C,Unknown
0x20800100,0xA800000C,WR_MODE
0x20000010,0xA802E089,WR_MODE
0x20000010,0x2802E089,WR_MODE
0xFF00FF00,0x2800000C,Unknown
0x20800100,0xA800000C,WR_MODE
0x20000010,0xA802E089,WR_MODE
0x20000010,0x2802E089,WR_MODE
0xFF00FF00,0x2800000C,Unknown
0x20800100,0xA800000C,WR_MODE
0x20000010,0xA802E089,WR_MODE
0x20000010,0x2802E089,WR_MODE
0xFF00FF00,0x2800000C,Unknown
0x20800100,0xA800000C,WR_MODE
0x20000010,0xA802E089,WR_MODE
0x20000010,0x2802E089,WR_MODE
0xFF00FF00,0x2800000C,Unknown
0x20800100,0xA800000C,WR_MODE
0x20000010,0xA802E089,WR_MODE
0x20000010,0x2802E089,WR_MODE
0xFF00FF00,0x2800000C,Unknown
0x20800100,0xA800000C,WR_MODE
0x20000010,0xA802E089,WR_MODE
0x20000010,0x2802E089,WR_MODE
0xFF00FF00,0x2800000C,Unknown
0x20800100,0xA800000C,WR_MODE
0x20000010,0xA802E089,WR_MODE
0x20000010,0x2802E089,WR_MODE
0xFF00FF00,0x2800000C,Unknown
0x20800100,0xA800000C,WR_MODE
0x20000010,0xA802E089,WR_MODE
0x20000010,0x2802E089,WR_MODE
0xFF00FF00,0x2800000C,Unknown
0x20800100,0xA800000C,WR_MODE
0x20000010,0xA802E089,WR_MODE
0x20000010,0x2802E089,WR_MODE
0xFF00FF00,0x2800000C,Unknown
0x20800100,0xA800000C,WR_MODE
0x20000010,0xA802E089,WR_MODE
0x20000010,0x2802E089,WR_MODE
0xFF00FF00,0x2800000C,Unknown
0x20800100,0xA800000C,WR_MODE
0x20000010,0xA802E089,WR_MODE
0x20000010,0x2802E089,WR_MODE
0xFF00FF00,0x2800000C,Unknown
0x20800100,0xA800000C,WR_MODE
0x20000010,0xA802E089,WR_MODE
0x20000010,0x2802E089,WR_MODE
0xFF00FF00,0x2800000C,Unknown
0x20800100,0xA800000C,WR_MODE
0x20000010,0xA802E089,WR_MODE
0x20000010,0x2802E089,WR_MODE
0xFF00FF00,0x2800000C,Unknown
0x20800100,0xA800000C,WR_MODE
0x20000010,0xA802E089,WR_MODE
0x20000010,0x2802E089,WR_MODE
0xFF00FF00,0x2800000C,Unknown
0x20800100,0xA800000C,WR_MODE
0x20000010,0xA802E089,WR_MODE
0x20000010,0x2802E089,WR_MODE
0xFF00FF00,0x2800000C,Unknown
0x20800100,0xA800000C,WR_MODE
0x20000010,0xA802E089,WR_MODE
0x20000010,0x2802E089,WR_MODE
0xFF00FF00,0x2800000C,Unknown
0x20800100,0xA800000C,WR_MODE
0x20000010,0xA802E089,WR_MODE
0x20000010,0x2802E089,WR_MODE
0xFF00FF00,0x2800000C,Unknown
0x20800100,0xA800000C,WR_MODE
0x20000010,0xA802E089,WR_MODE
