Time [s],Packet ID,MOSI,MISO
0.0208240200,0,0x08100004,0xF8400004
0.0208307000,1,0x08100004,0x08400004
0.0208373800,2,0x08100004,0x00400004
0.0208440400,3,0x08100004,0x00400004
0.0208507200,4,0x08100004,0x08400004
0.0208574000,5,0x08100004,0x08400004
0.0208640800,6,0x08100004,0x08400004
0.0213208000,7,0x08100004,0xF8400004
0.0213274600,8,0x08100004,0x08400004
0.0213341400,9,0x08100004,0x08400004
0.0213408200,10,0x08100004,0x08400004
0.0213475000,11,0x08100004,0x08400004
0.0213541800,12,0x08100004,0x08400004
0.0213608600,13,0x08100004,0x08400004
0.0218208400,14,0x08100004,0xF8400004
0.0218275200,15,0x08100004,0x08400004
0.0218341800,16,0x08100004,0x00400004
0.0218408600,17,0x08100004,0x08400004
0.0218475400,18,0x08100004,0x08400004
0.0218542200,19,0x08100004,0x08400004
0.0218609000,20,0x08100004,0x08400004
0.0223208600,21,0x08100004,0xF8400004
0.0223275400,22,0x08100004,0x00400004
0.0223342200,23,0x08100004,0x08400004
0.0223408800,24,0x08100004,0x08400004
0.0223475600,25,0x08100004,0x08400004
0.0223542400,26,0x08100004,0x08400004
0.0223609200,27,0x08100004,0x08400004
0.0228208400,28,0x08100004,0xF8400004
0.0228275200,29,0x08100004,0x08400004
0.0228342000,30,0x08100004,0x08400004
0.0228408600,31,0x08100004,0x00400004
0.0228475400,32,0x08100004,0x08400004
0.0228542200,33,0x08100004,0x08400004
0.0228609000,34,0x08100004,0x08400004
0.0233208600,35,0x08100004,0xF8400004
0.0233275400,36,0x08100004,0x08400004
0.0233342200,37,0x08100004,0x08400004
0.0233409000,38,0x08100004,0x00400004
0.0233475600,39,0x08100004,0x00400004
0.0233542400,40,0x08100004,0x08400004
0.0233609200,41,0x08100004,0x08400004
0.0238208400,42,0x08100004,0xF8400004
0.0238275200,43,0x08100004,0x08400004
0.0238342000,44,0x08100004,0x08400004
0.0238408800,45,0x08100004,0x08400004
0.0238475600,46,0x08100004,0x08400004
0.0238542200,47,0x08100004,0x00400004
0.0238609000,48,0x08100004,0x08400004
0.0243208600,49,0x08100004,0xF8400004
0.0243275400,50,0x08100004,0x08400004
0.0243342200,51,0x08100004,0x08400004
0.0243409000,52,0x08100004,0x08400004
0.0243475800,53,0x08100004,0x08400004
0.0243542600,54,0x08100004,0x08400004
0.0243609200,55,0x08100004,0x00400004
0.0248208400,56,0x08100004,0xF8400004
0.0248275200,57,0x08100004,0x08400004
0.0248342000,58,0x08100004,0x08400004
0.0248408800,59,0x08100004,0x08400004
0.0248475600,60,0x08100004,0x00400004
0.0248542400,61,0x08100004,0x08400004
0.0248609000,62,0x08100004,0x08400004
0.0253208800,63,0x08100004,0xF8400004
0.0253275400,64,0x08100004,0x08400004
0.0253342200,65,0x08100004,0x08400004
0.0253409000,66,0x08100004,0x08400004
0.0253475800,67,0x08100004,0x08400004
0.0253542600,68,0x08100004,0x08400004
0.0253609400,69,0x08100004,0x08400004
0.0258208600,70,0x08100004,0xF8400004
0.0258275200,71,0x08100004,0x08400004
0.0258342000,72,0x08100004,0x08400004
0.0258408800,73,0x08100004,0x08400004
0.0258475600,74,0x08100004,0x08400004
0.0258542400,75,0x08100004,0x08400004
0.0258609200,76,0x08100004,0x08400004
0.0263208800,77,0x08100004,0xF8400004
0.0263275600,78,0x08100004,0x00400004
0.0263342200,79,0x08100004,0x08400004
0.0263409000,80,0x08100004,0x08400004
0.0263475800,81,0x08100004,0x08400004
0.0263542600,82,0x08100004,0x08400004
0.0263609400,83,0x08100004,0x08400004
0.0268208600,84,0x08100004,0xF8400004
0.0268275400,85,0x08100004,0x08400004
0.0268342000,86,0x08100004,0x00400004
0.0268408800,87,0x08100004,0x00400004
0.0268475600,88,0x08100004,0x08400004
0.0268542400,89,0x08100004,0x08400004
0.0268609200,90,0x08100004,0x08400004
0.0273208800,91,0x08100004,0xF8400004
0.0273275600,92,0x08100004,0x08400004
0.0273342400,93,0x08100004,0x00400004
0.0273409000,94,0x08100004,0x00400004
0.0273475800,95,0x08100004,0x00400004
0.0273542600,96,0x08100004,0x08400004
0.0273609400,97,0x08100004,0x08400004
0.0278208600,98,0x08100004,0xF8400004
0.0278275400,99,0x08100004,0x08400004
0.0278342200,100,0x08100004,0x08400004
0.0278409000,101,0x08100004,0x08400004
0.0278475600,102,0x08100004,0x00400004
0.0278542400,103,0x08100004,0x08400004
0.0278609200,104,0x08100004,0x08400004
0.0283210600,105,0x08100004,0xF8400004
0.0283277400,106,0x08100004,0x08400004
0.0283344200,107,0x08100004,0x08400004
0.0283411000,108,0x08100004,0x08400004
0.0283477600,109,0x08100004,0x08400004
0.0283544400,110,0x08100004,0x08400004
0.0283611200,111,0x08100004,0x08400004
0.0288212000,112,0x08100004,0xF8400004
0.0288278800,113,0x08100004,0x08400004
0.0288345600,114,0x08100004,0x08400004
0.0288412200,115,0x08100004,0x08400004
0.0288479000,116,0x08100004,0x00400004
0.0288545800,117,0x08100004,0x08400004
0.0288612600,118,0x08100004,0x08400004
0.0293210200,119,0x08100004,0xF8400004
0.0293276800,120,0x08100004,0x00400004
0.0293343600,121,0x08100004,0x08400004
0.0293410400,122,0x08100004,0x08400004
0.0293477200,123,0x08100004,0x08400004
0.0293544000,124,0x08100004,0x08400004
0.0293610800,125,0x08100004,0x08400004
0.0298212800,126,0x08100004,0xF8400004
0.0298279600,127,0x08100004,0x00400004
0.0298346200,128,0x08100004,0x00400004
0.0298413000,129,0x08100004,0x08400004
0.0298479800,130,0x08100004,0x08400004
0.0298546600,131,0x08100004,0x08400004
0.0298613400,132,0x08100004,0x08400004
0.0303210400,133,0x08100004,0xF8400004
0.0303277200,134,0x08100004,0x08400004
0.0303344000,135,0x08100004,0x08400004
0.0303410800,136,0x08100004,0x08400004
0.0303477600,137,0x08100004,0x00400004
0.0303544400,138,0x08100004,0x08400004
0.0303611000,139,0x08100004,0x08400004
0.0308209600,140,0x08100004,0xF8400004
0.0308276400,141,0x08100004,0x08400004
0.0308343200,142,0x08100004,0x08400004
0.0308410000,143,0x08100004,0x08400004
0.0308476800,144,0x08100004,0x08400004
0.0308543600,145,0x08100004,0x00400004
0.0308610200,146,0x08100004,0x08400004
0.0313210200,147,0x08100004,0xF8400004
0.0313277000,148,0x08100004,0x08400004
0.0313343800,149,0x08100004,0x00400004
0.0313410600,150,0x08100004,0x08400004
0.0313477200,151,0x08100004,0x08400004
0.0313544000,152,0x08100004,0x08400004
0.0313610800,153,0x08100004,0x08400004
0.0318209800,154,0x08100004,0xF8400004
0.0318276400,155,0x08100004,0x08400004
0.0318343200,156,0x08100004,0x08400004
0.0318410000,157,0x08100004,0x08400004
0.0318476800,158,0x08100004,0x08400004
0.0318543600,159,0x08100004,0x00400004
0.0318610400,160,0x08100004,0x00400004
0.0323210600,161,0x08100004,0xF8400004
0.0323277400,162,0x08100004,0x08400004
0.0323344000,163,0x08100004,0x00400004
0.0323410800,164,0x08100004,0x08400004
0.0323477600,165,0x08100004,0x08400004
0.0323544400,166,0x08100004,0x08400004
0.0323611200,167,0x08100004,0x08400004
0.0328211000,168,0x08100004,0xF8400004
0.0328277800,169,0x08100004,0x08400004
0.0328344600,170,0x08100004,0x00400004
0.0328411400,171,0x08100004,0x08400004
0.0328478000,172,0x08100004,0x08400004
0.0328544800,173,0x08100004,0x08400004
0.0328611600,174,0x08100004,0x08400004
0.0333210200,175,0x08100004,0xF8400004
0.0333277000,176,0x08100004,0x08400004
0.0333343800,177,0x08100004,0x08400004
0.0333410600,178,0x08100004,0x08400004
0.0333477400,179,0x08100004,0x08400004
0.0333544200,180,0x08100004,0x08400004
0.0333611000,181,0x08100004,0x08400004
0.0338210000,182,0x08100004,0xF8400004
0.0338276800,183,0x08100004,0x08400004
0.0338343600,184,0x08100004,0x08400004
0.0338410400,185,0x08100004,0x08400004
0.0338477000,186,0x08100004,0x08400004
0.0338543800,187,0x08100004,0x08400004
0.0338610600,188,0x08100004,0x08400004
0.0343210400,189,0x08100004,0xF8400004
0.0343277200,190,0x08100004,0x08400004
0.0343344000,191,0x08100004,0x08400004
0.0343410800,192,0x08100004,0x00400004
0.0343477600,193,0x08100004,0x08400004
0.0343544200,194,0x08100004,0x08400004
0.0343611000,195,0x08100004,0x08400004
0.0348212400,196,0x08100004,0xF8400004
0.0348279000,197,0x08100004,0x08400004
0.0348345800,198,0x08100004,0x08400004
0.0348412600,199,0x08100004,0x08400004
0.0348479400,200,0x08100004,0x08400004
0.0348546200,201,0x08100004,0x08400004
0.0348613000,202,0x08100004,0x08400004
0.0353210400,203,0x08100004,0xF8400004
0.0353277200,204,0x08100004,0x08400004
0.0353344000,205,0x08100004,0x00400004
0.0353410600,206,0x08100004,0x08400004
0.0353477400,207,0x08100004,0x08400004
0.0353544200,208,0x08100004,0x08400004
0.0353611000,209,0x08100004,0x08400004
0.0358210000,210,0x08100004,0xF8400004
0.0358276800,211,0x08100004,0x08400004
0.0358343600,212,0x08100004,0x08400004
0.0358410400,213,0x08100004,0x08400004
0.0358477200,214,0x08100004,0x08400004
0.0358544000,215,0x08100004,0x08400004
0.0358610800,216,0x08100004,0x08400004
0.0363210800,217,0x08100004,0xF8400004
0.0363277400,218,0x08100004,0x00400004
0.0363344200,219,0x08100004,0x08400004
0.0363411000,220,0x08100004,0x08400004
0.0363477800,221,0x08100004,0x08400004
0.0363544600,222,0x08100004,0x08400004
0.0363611400,223,0x08100004,0x08400004
0.0368210000,224,0x08100004,0xF8400004
0.0368276600,225,0x08100004,0x08400004
0.0368343400,226,0x08100004,0x08400004
0.0368410200,227,0x08100004,0x08400004
0.0368477000,228,0x08100004,0x08400004
0.0368543800,229,0x08100004,0x08400004
0.0368610600,230,0x08100004,0x08400004
0.0373210400,231,0x08100004,0xF8400004
0.0373277200,232,0x08100004,0x08400004
0.0373344000,233,0x08100004,0x08400004
0.0373410800,234,0x08100004,0x08400004
0.0373477600,235,0x08100004,0x08400004
0.0373544400,236,0x08100004,0x00400004
0.0373611000,237,0x08100004,0x08400004
0.0378210200,238,0x08100004,0xF8400004
0.0378277000,239,0x08100004,0x08400004
0.0378343800,240,0x08100004,0x08400004
0.0378410400,241,0x08100004,0x08400004
0.0378477200,242,0x08100004,0x08400004
0.0378544000,243,0x08100004,0x08400004
0.0378610800,244,0x08100004,0x08400004
0.0383210800,245,0x08100004,0xF8400004
0.0383277600,246,0x08100004,0x08400004
0.0383344400,247,0x08100004,0x08400004
0.0383411200,248,0x08100004,0x08400004
0.0383477800,249,0x08100004,0x08400004
0.0383544600,250,0x08100004,0x08400004
0.0383611400,251,0x08100004,0x08400004
0.0388210200,252,0x08100004,0xF8400004
0.0388277000,253,0x08100004,0x08400004
0.0388343800,254,0x08100004,0x08400004
0.0388410600,255,0x08100004,0x00400004
0.0388477200,256,0x08100004,0x08400004
0.0388544000,257,0x08100004,0x08400004
0.0388610800,258,0x08100004,0x08400004
0.0393210400,259,0x08100004,0xF8400004
0.0393277000,260,0x08100004,0x00400004
0.0393343800,261,0x08100004,0x08400004
0.0393410600,262,0x08100004,0x08400004
0.0393477400,263,0x08100004,0x08400004
0.0393544200,264,0x08100004,0x08400004
0.0393611000,265,0x08100004,0x00400004
0.0398210200,266,0x08100004,0xF8400004
0.0398277000,267,0x08100004,0x08400004
0.0398343800,268,0x08100004,0x08400004
0.0398410600,269,0x08100004,0x00400004
0.0398477400,270,0x08100004,0x08400004
0.0398544000,271,0x08100004,0x08400004
0.0398610800,272,0x08100004,0x08400004
0.0403211000,273,0x08100004,0xF8400004
0.0403277600,274,0x08100004,0x08400004
0.0403344400,275,0x08100004,0x08400004
0.0403411200,276,0x08100004,0x08400004
0.0403478000,277,0x08100004,0x08400004
0.0403544800,278,0x08100004,0x08400004
0.0403611600,279,0x08100004,0x08400004
0.0408210000,280,0x08100004,0xF8400004
0.0408276800,281,0x08100004,0x08400004
0.0408343600,282,0x08100004,0x08400004
0.0408410400,283,0x08100004,0x08400004
0.0408477200,284,0x08100004,0x08400004
0.0408544000,285,0x08100004,0x08400004
0.0408610800,286,0x08100004,0x08400004
0.0413210600,287,0x08100004,0xF8400004
0.0413277400,288,0x08100004,0x08400004
0.0413344200,289,0x08100004,0x08400004
0.0413411000,290,0x08100004,0x08400004
0.0413477800,291,0x08100004,0x08400004
0.0413544400,292,0x08100004,0x08400004
0.0413611200,293,0x08100004,0x08400004
0.0418210400,294,0x08100004,0xF8400004
0.0418277000,295,0x08100004,0x08400004
0.0418343800,296,0x08100004,0x08400004
0.0418410600,297,0x08100004,0x08400004
0.0418477400,298,0x08100004,0x08400004
0.0418544200,299,0x08100004,0x08400004
0.0418611000,300,0x08100004,0x08400004
0.0423211000,301,0x08100004,0xF8400004
0.0423277800,302,0x08100004,0x08400004
0.0423344600,303,0x08100004,0x08400004
0.0423411200,304,0x08100004,0x08400004
0.0423478000,305,0x08100004,0x08400004
0.0423544800,306,0x08100004,0x08400004
0.0423611600,307,0x08100004,0x08400004
0.0428210400,308,0x08100004,0xF8400004
0.0428277200,309,0x08100004,0x00400004
0.0428344000,310,0x08100004,0x08400004
0.0428410600,311,0x08100004,0x08400004
0.0428477400,312,0x08100004,0x08400004
0.0428544200,313,0x08100004,0x08400004
0.0428611000,314,0x08100004,0x08400004
0.0433210800,315,0x08100004,0xF8400004
0.0433277400,316,0x08100004,0x08400004
0.0433344200,317,0x08100004,0x08400004
0.0433411000,318,0x08100004,0x08400004
0.0433477800,319,0x08100004,0x08400004
0.0433544600,320,0x08100004,0x08400004
0.0433611400,321,0x08100004,0x00400004
0.0438210400,322,0x08100004,0xF8400004
0.0438277200,323,0x08100004,0x08400004
0.0438344000,324,0x08100004,0x08400004
0.0438410800,325,0x08100004,0x08400004
