Timestamp: 1729066018.747892    ID:      321    S Tx                DL:  8    00 00 00 08 01 00 00 00
Timestamp: 1729066018.758377    ID:      321    S Tx                DL:  8    00 02 11 90 04 02 11 0e
Timestamp:    24437.535287    ID:      001    S Rx                DL:  4    00 00 00 00
Timestamp:    24437.546246    ID:      321    S Tx                DL:  8    00 02 11 90 04 02 11 0e
Timestamp:    24437.575424    ID:      123    S Rx                DL:  8    00 00 00 00 00 00 00 00
Timestamp:    24437.575424    ID:      321    S Tx                DL:  8    01 00 00 00 00 06 06 a0
Timestamp:    24437.585640    ID:      123    S Rx                DL:  8    00 00 00 00 00 00 00 00
Timestamp:    24437.596604    ID:      321    S Tx                DL:  8    01 00 00 00 00 06 06 a0
Timestamp:    24437.596792    ID:      123    S Rx                DL:  8    00 00 00 00 00 00 00 00
Timestamp:    24437.607758    ID:      321    S Tx                DL:  8    01 00 00 00 00 06 06 a0
Timestamp:    24437.607468    ID:      123    S Rx                DL:  8    01 00 00 00 00 00 00 00
Timestamp:    24437.607468    ID:      321    S Tx                DL:  8    02 00 02 c8 00 00 00 fa
Timestamp:    24437.618751    ID:      123    S Rx                DL:  8    01 00 00 00 00 00 00 00
Timestamp:    24437.629712    ID:      321    S Tx                DL:  8    02 00 02 c8 00 00 00 fa
Timestamp:    24437.631471    ID:      123    S Rx                DL:  8    02 00 00 00 00 00 00 00
Timestamp:    24437.632465    ID:      321    S Tx                DL:  8    03 0f fb 9b fa 0f ff cb
Timestamp:    24437.633331    ID:      123    S Rx                DL:  8    03 00 00 00 00 00 00 00
Timestamp:    24437.633331    ID:      321    S Tx                DL:  8    04 fa 0f e5 7e fd 00 45
Timestamp:    24437.635200    ID:      123    S Rx                DL:  8    04 00 00 00 00 00 00 00
Timestamp:    24437.635200    ID:      321    S Tx                DL:  8    05 b9 ba 01 38 0b fa 00
Timestamp:    24437.637100    ID:      123    S Rx                DL:  8    05 00 00 00 00 00 00 00
Timestamp:    24437.637100    ID:      321    S Tx                DL:  8    06 00 00 38 40 06 61 c8
Timestamp:    24437.638980    ID:      123    S Rx                DL:  8    06 00 00 00 00 00 00 00
Timestamp:    24437.638980    ID:      321    S Tx                DL:  8    07 00 00 00 00 00 00 00
Timestamp:    24437.640860    ID:      123    S Rx                DL:  8    07 00 00 00 00 00 00 00
